name,module_id,icon,slug,position,is_protected,static,status
Dashboard,1,"fa fa-dashboard",dashboard,1,1,1,1
Users,3,"fa fa-user",users,2,1,0,1
Roles,4,"fa fa-edit",roles,3,1,0,1
Permissions,5,"fa fa-check-square-o",permissions,4,1,0,1
Modules,6,"fa fa-database",modules,5,1,0,1
Languages,7,"fa fa-comments-o",languages,6,1,0,1
Pages,8,"fa fa-wpforms",pages,7,1,0,1
Menus,9,"fa fa-th",menus,8,1,0,1
"Contact us",10,"fa fa-mail-forward",contactus,9,1,0,1
Notifications,11,"fa fa-bell",notifications,10,1,0,1
Settings,12,"fa fa-gears",settings,11,0,0,1
Attendances,13,"fa fa-th-list",attendances,12,0,0,1
Tasks,14,"fa fa-glass",tasks,13,0,0,1
"Task Categories",15,"fa fa-th-large",task-categories,14,0,0,1
Taskcomments,16,"fa fa-comments",taskcomments,15,0,0,1
Orders,17,"fa fa-glass",orders,16,0,0,1
Orderitems,18,"fa fa-th-list",orderitems,17,0,0,1
Quickorders,20,"fa fa-glass",quickorders,17,0,0,1
Quickorderitems,21,"fa fa-glass",quickorderitems,18,0,0,1
Facilitators,22,"fa fa-glass",facilitators,19,0,0,1
"Facilitator Tracks",23,"fa fa-glass",facilitator-tracks,20,0,0,1
